#,Folio,Programa,Tipo,Área,Carrera,Coordinador que inscribe,Curso de Inducción,Empresa,Domicilio
35,146897,CREACIÓN DE PLANTILLAS PARA EL DESARROLLO DE ACTIVIDADES INTERACTIVAS PARA LA ENSEÑANZA DE UN IDIOMA.,Serv Social,FACULTAD DE LENGUAS BUAP,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE LENGUAS,"AVENIDA SAN CLAUDIO Y 22 SUR EDIFICIO CAALE COL: SAN MANUEL CP: 72592
Otro , Puebla
(222) 2222295500 EXT 2803
(222) 2222295500 EXT 2803
jtexcucano@facultaddelenguas.com"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE LENGUAS,"AVENIDA SAN CLAUDIO Y 22 SUR EDIFICIO CAALE COL: SAN MANUEL CP: 72592
Otro , Puebla
(222) 2222295500 EXT 2803
(222) 2222295500 EXT 2803
jtexcucano@facultaddelenguas.com"
,,,,,,,,,
36,146920,TRANSPARENCIA PARA TOD@S,Serv Social,SE REALIZARA ÚNICA Y EXCLUSIVAMENTE DE MANERA VIRTUAL,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ECONOMIA,"AV. SAN CLAUDIO Y 22 SUR, CIUDAD UNIVERSITARIA; FACULTAD DE ECONOMÍA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(1222) 2295500 EXT 2896
(1222) 2295500 EXT 2896
beatriz.perezsanche@correo.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ECONOMIA,"AV. SAN CLAUDIO Y 22 SUR, CIUDAD UNIVERSITARIA; FACULTAD DE ECONOMÍA COL: SAN MANUEL CP: 72570
Puebla , Puebla
(1222) 2295500 EXT 2896
(1222) 2295500 EXT 2896
beatriz.perezsanche@correo.buap.mx"
,,,,,,,,,
37,146940,DETERMINACIÓN DE ESTRUCTURAS CRISTALINAS POR DIFRACCIÓN DE RAYOS-X DE CRISTAL ÚNICO,Serv Social,"LABORATORIO DE DIFRACCIÓN DE RAYOS-X, EDIF IC10, UNIDAD DE ANÁLISIS INSTRUMENTAL",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"AV. SAN CLAUDIO Y 18 SUR EDIFICIO 103 E COL: Sn. Manuel CP: 72570
Puebla , Puebla
(222) 222955000 EXT 7297
(12) 222955000 EXT 7397
ANGEL.MENDOZA@CORREO.BUAP.MX"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"AV. SAN CLAUDIO Y 18 SUR EDIFICIO 103 E COL: Sn. Manuel CP: 72570
Puebla , Puebla
(222) 222955000 EXT 7297
(12) 222955000 EXT 7397
ANGEL.MENDOZA@CORREO.BUAP.MX"
,,,,,,,,,
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,INSTITUTO DE CIENCIAS,"AV. SAN CLAUDIO Y 18 SUR EDIFICIO 103 E COL: Sn. Manuel CP: 72570
Puebla , Puebla
(222) 222955000 EXT 7297
(12) 222955000 EXT 7397
ANGEL.MENDOZA@CORREO.BUAP.MX"
,,,,,,,,,
38,146948,DISEÑO DE MATERIAL PARA INTERESAR A NIÑAS Y NIÑOS DE ZONAS RURALES EN LAS ÁREAS DE TECNOLOGÍA,Serv Social,FACULTAD DE CIENCIAS DE LA ELECTRÓNICA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"Av. San Claudio y 18 sur sin numero COL: C.U. San Manuel CP: 72100
Puebla , Puebla
(222) 2295500 EXT 7416
(222) 2295500 EXT 7400
ANAMARIA.RODRIGUEZ@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"Av. San Claudio y 18 sur sin numero COL: C.U. San Manuel CP: 72100
Puebla , Puebla
(222) 2295500 EXT 7416
(222) 2295500 EXT 7400
ANAMARIA.RODRIGUEZ@CORREO.BUAP.MX"
,,,,,,,,,
39,146951,FOMENTO DE VOCACIÓN A LAS CIENCIAS,Serv Social,FACULTAD DE CIENCIAS DE LA ELECTRÓNICA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"Av. San Claudio y 18 sur sin numero COL: C.U. San Manuel CP: 72100
Puebla , Puebla
(222) 2295500 EXT 7416
(222) 2295500 EXT 7400
ANAMARIA.RODRIGUEZ@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"Av. San Claudio y 18 sur sin numero COL: C.U. San Manuel CP: 72100
Puebla , Puebla
(222) 2295500 EXT 7416
(222) 2295500 EXT 7400
ANAMARIA.RODRIGUEZ@CORREO.BUAP.MX"
,,,,,,,,,
40,147040,CARACTERIZACIÓN DE MATERIALES DE USO INDUSTRIAL,Serv Social,LABORATORIO DE ANÁLISIS INSTRUMENTAL,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV. SAN CLAUDIO Y 18 SUR COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7257
(222) 2295500 EXT 7257
deys_25@yahoo.com.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV. SAN CLAUDIO Y 18 SUR COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7257
(222) 2295500 EXT 7257
deys_25@yahoo.com.mx"
,,,,,,,,,
41,147041,CARACTERIZACIÓN DE RESIDUOS INDUSTRIALES PARA SU APROVECHAMIENTO EN LA PRODUCCIÓN NUEVOS PRODUCTOS,Serv Social,LABORATORIO DE ANÁLISIS INSTRUMENTAL,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV. SAN CLAUDIO Y 18 SUR COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7257
(222) 2295500 EXT 7257
deys_25@yahoo.com.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA QUIMICA,"AV. SAN CLAUDIO Y 18 SUR COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7257
(222) 2295500 EXT 7257
deys_25@yahoo.com.mx"
,,,,,,,,,
42,147055,"DISEÑO Y DESARROLLO DE INTERFAZ Y EXPERIENCIA DE USUARIO WEB (UI, UX)",Serv Social,COORDINACIÓN GENERAL DE FORMACIÓN DE CAPITAL HUMANO EN EL CAMPO ESPACIAL,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,AGENCIA ESPACIAL MEXICANA,"INSURGENTES SUR1685/PISO 3 Col: GUADALUPE INN CP: 1020
Distrito Federal ,Alvaro Obregon
(155)36911310 Ext: 85034
(155)36911310 Ext: 85268
ELIAS.ELIZABETH@AEM.GOB.MX"
43,147061,DIVULGACIÓN DE LA CIENCIA,Serv Social,FACULTAD DE CS.DE LA ELECTRONICA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"18 sur y Sn Claudio s. n. COL: Jardines de San Manuel CP: 72450
Puebla , Puebla
(222) 2295500 EXT 7400
(222) 2295500 EXT 7401
D.MOCENCA@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"18 sur y Sn Claudio s. n. COL: Jardines de San Manuel CP: 72450
Puebla , Puebla
(222) 2295500 EXT 7400
(222) 2295500 EXT 7401
D.MOCENCA@GMAIL.COM"
,,,,,,,,,
44,147090,PROYECTOS DE TRANSPORTE URBANO Y MOVILIDAD PARA UN MEDIO AMBIENTE SANO,Serv Social,DEPARTAMENTO DE TRANSPORTE Y MOVILIDAD,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,COORDINACIÓN GENERAL DE DESARROLLO SUSTENTABLE,"AVENIDA ESCOLAR EDIFICIO STU COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 1266
(222) 2295500 EXT 1266
ulises.gomez@correo.buap.mx"
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,COORDINACIÓN GENERAL DE DESARROLLO SUSTENTABLE,"AVENIDA ESCOLAR EDIFICIO STU COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 1266
(222) 2295500 EXT 1266
ulises.gomez@correo.buap.mx"
,,,,,,,,,
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,COORDINACIÓN GENERAL DE DESARROLLO SUSTENTABLE,"AVENIDA ESCOLAR EDIFICIO STU COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 1266
(222) 2295500 EXT 1266
ulises.gomez@correo.buap.mx"
,,,,,,,,,
45,147121,IMPLEMENTACIÓN Y DIFUSIÓN DE SERVICIOS DE INFORMACIÓN Y PROMOCIÓN DE LECTURA EN EL ÁREA JUVENIL,Serv Social,"ENCARGADA DE DESPACHO BIBLIOTECAS DE UNIDADES ACADÉMICAS C.U, INFANTIL",Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,BIBLIOTECA CENTRAL,"BLVD. VALSEQUILLO SIN NÚMERO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 2915
(222) 2295500 EXT 2915
jessica.jimenez@correo.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,BIBLIOTECA CENTRAL,"BLVD. VALSEQUILLO SIN NÚMERO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 2915
(222) 2295500 EXT 2915
jessica.jimenez@correo.buap.mx"
,,,,,,,,,
46,147127,"HACIA UN TRANSPORTE Y MOVILIDAD SUSTENTABLE, SOSTENIBLE E INCLUYENTE EN CIUDAD UNIVERSITARIA",Serv Social,DEPARTAMENTO DE TRANSPORTE Y MOVILIDAD,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,COORDINACIÓN GENERAL DE DESARROLLO SUSTENTABLE,"AVENIDA ESCOLAR EDIFICIO STU COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 1266
(222) 2295500 EXT 1266
ulises.gomez@correo.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,COORDINACIÓN GENERAL DE DESARROLLO SUSTENTABLE,"AVENIDA ESCOLAR EDIFICIO STU COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 1266
(222) 2295500 EXT 1266
ulises.gomez@correo.buap.mx"
,,,,,,,,,
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,COORDINACIÓN GENERAL DE DESARROLLO SUSTENTABLE,"AVENIDA ESCOLAR EDIFICIO STU COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 1266
(222) 2295500 EXT 1266
ulises.gomez@correo.buap.mx"
,,,,,,,,,
47,147164,ADMINSTRACIÓN DE SISTEMA EN MODULO2,Serv Social,"MODULO 2, EDIFICIO CC03 DE LA FCC",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA COL: SN. MANUEL CP: 72570
Puebla , Puebla
(52) EXT 7200
(52) 2222295672 EXT 7200
amecajl@hotmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA COL: SN. MANUEL CP: 72570
Puebla , Puebla
(52) EXT 7200
(52) 2222295672 EXT 7200
amecajl@hotmail.com"
,,,,,,,,,
48,147169,DISEÑO DE UN ROBOT TIPO SCARA,Serv Social,LABORATORIO DE SISTEMAS ROBÓTICOS (SIRO),Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA COL: SN. MANUEL CP: 72570
Puebla , Puebla
(52) EXT 7200
(52) 2222295672 EXT 7200
amecajl@hotmail.com"
49,147170,DISEÑO E IMPLEMENTACION DE PAGINAS WEB,Serv Social,LABORATORIO DE SISTEMAS ROBOTICOS (SIRO) - FCC,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA COL: SN. MANUEL CP: 72570
Puebla , Puebla
(52) EXT 7200
(52) 2222295672 EXT 7200
amecajl@hotmail.com"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA COL: SN. MANUEL CP: 72570
Puebla , Puebla
(52) EXT 7200
(52) 2222295672 EXT 7200
amecajl@hotmail.com"
,,,,,,,,,
50,147173,DISEÑO DE UN ROBOT DIFERENCIAL,Serv Social,LABORATORIO DE SISTEMAS ROBOTICOS SIRO DE LA FCC,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR CIUDAD UNIVERSITARIA COL: SN. MANUEL CP: 72570
Puebla , Puebla
(52) EXT 7200
(52) 2222295672 EXT 7200
amecajl@hotmail.com"
51,147199,ANÁLISIS ESTADÍSTICO PARA UN PROYECTO DE INVESTIGACIÓN SOBRE PERFIL ACADÉMICO DE LOS ESTUDIANTES,Serv Social,LABORATORIO DE MULTIMEDIA DE LA FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"VILLAVERDE 2 EDIFICIO 12 DPTO 103 103 COL: VILLAVERDE CP: 72303
Puebla , Puebla
(222) 365070 EXT
(222) 295500 EXT 7203
EEVCLIBRA@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"VILLAVERDE 2 EDIFICIO 12 DPTO 103 103 COL: VILLAVERDE CP: 72303
Puebla , Puebla
(222) 365070 EXT
(222) 295500 EXT 7203
EEVCLIBRA@GMAIL.COM"
,,,,,,,,,
52,147205,CAPACITACIÓN Y MANEJO DE PYTHON PARA ESPECIALISTAS EN RECURSOS NATURALES,Serv Social,CENTRO DE AGROECOLOGÍA Y AMBIENTE DEL ICUAP,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"14 SUR 6301 COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7357
(222) 2295500 EXT 7357
DANIEL.JIMENEZ@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"14 SUR 6301 COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7357
(222) 2295500 EXT 7357
DANIEL.JIMENEZ@CORREO.BUAP.MX"
,,,,,,,,,
53,147207,DESARROLLO DE APLICACIONES SIG PARA EL ESTADO DE PUEBLA EN EL CENTRO DE AGROECOLOGÍA Y AMBIENTE,Serv Social,CENTRO DE AGROECOLOGÍA Y AMBIENTE DEL ICUAP,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"14 SUR 6301 COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7357
(222) 2295500 EXT 7357
DANIEL.JIMENEZ@CORREO.BUAP.MX"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE CIENCIAS,"14 SUR 6301 COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7357
(222) 2295500 EXT 7357
DANIEL.JIMENEZ@CORREO.BUAP.MX"
,,,,,,,,,
54,147215,DISEÑO DE PÁGINAS WEB PARA POSGRADO FCE-BUAP,Serv Social,FACULTAD DE CIENCIAS DE LA ELECTRÓNICA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AV. SAN CLAUDIO Y RIO VERDE C. U. EDIF. 182 COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7400
(222) 2295500 EXT 7401
OLGA.FELIX@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AV. SAN CLAUDIO Y RIO VERDE C. U. EDIF. 182 COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7400
(222) 2295500 EXT 7401
OLGA.FELIX@CORREO.BUAP.MX"
,,,,,,,,,
55,147238,FORMACIÓN ADMINISTRATIVA PARA ALUMNOS EN PROCESOS EDUCATIVOS,Serv Social,"DAE CU, DAE CENTRO, DAE SALUD, DAE TEHUACAN, DAE TEZIUTLAN",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION DE ADMINISTRACION ESCOLAR,"PROLONGACIÓN DE LA 24 SUR ESQUINA AV. SAN CLAUDIO JUNTO AL CUVTT COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 7001
(222) 2295500 EXT 5699
RAFAEL.RODRIGUEZ@CORREO.BUAP.MX"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION DE ADMINISTRACION ESCOLAR,"PROLONGACIÓN DE LA 24 SUR ESQUINA AV. SAN CLAUDIO JUNTO AL CUVTT COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 7001
(222) 2295500 EXT 5699
RAFAEL.RODRIGUEZ@CORREO.BUAP.MX"
,,,,,,,,,
56,147246,REDES ELECTRONICAS EN SOCIEDAD CIVIL EN RED,Serv Social,"ADMINISTRATIVA, REDES ELECTRÓNICAS",Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,SOCIEDAD CIVIL EN RED A.C,"LATERAL RECTA A CHOLULA9 Col: SANTA CRUZ BUENAVISTA CP: 72154
Puebla,Otro
(222)2502455 Ext: 0
(0)0 Ext: 0
socir2013@gmail.com"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,SOCIEDAD CIVIL EN RED A.C,"LATERAL RECTA A CHOLULA9 Col: SANTA CRUZ BUENAVISTA CP: 72154
Puebla,Otro
(222)2502455 Ext: 0
(0)0 Ext: 0
socir2013@gmail.com"
,,,,,,,,,
57,147332,UNA HERRAMIENTA DE APRENDIZAJE EN EL MANEJO Y NORMATIVAS AMBIENTALES Y CONTABLES.,Serv Social,HERBARIO Y JARDIN BOTANICO,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,HERBARIO B.U.A.P.,"AV. SAN CLAUDIO S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 7031
(222) 2295679 EXT
jmarito@siu.buap.mx"
58,147358,SISTEMA WEB PARA GESTIÓN DE INSCRIPCIÓN Y REVISIÓN DE TRABAJOS EN EVENTOS COMO: CONGRESOS Y TALLERES,Serv Social,ÁREA DE RED Y TECNOLOGÍAS DE LA INFORMACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AV. SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7595
(222) EXT
MONICA.MACIAS@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AV. SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7595
(222) EXT
MONICA.MACIAS@CORREO.BUAP.MX"
,,,,,,,,,
59,147359,COMUNICACIÓN INSTITUCIONAL FACULTAD DE PSICOLOGÍA BUAP,Serv Social,CENTRO DE ACOMPAÑAMIENTO Y GESTIÓN ESTUDIANTIL PSICOLOGÍA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE PSICOLOGIA,"BLVD. VALSEQUILLO ACCESO POR BIBLIOTECA CENTRAL EMA 5 P.B COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 4075680 EXT 0
(222) 4075680 EXT 0
donavichido@hotmail.com"
60,147393,ALGORITMOS HEURÍSTICOS PARA ASIGNAR RECURSOS DE SERVICIOS DE APLICACIÓN EN LA NUBE,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. 14 SUR ESQ. AV. SAN CLAUDIO EDIFICIO 104B COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 2222295500 EXT 7206
(1) 2222295672 EXT
cmr@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. 14 SUR ESQ. AV. SAN CLAUDIO EDIFICIO 104B COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 2222295500 EXT 7206
(1) 2222295672 EXT
cmr@cs.buap.mx"
,,,,,,,,,
61,147395,DESARROLLO DE UN VIDEO JUEGO ACERCA DE LOS BENEFICIOS DE LA ENTOMOFAGIA,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. 14 SUR ESQ. AV. SAN CLAUDIO EDIFICIO 104B COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 2222295500 EXT 7206
(1) 2222295672 EXT
cmr@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. 14 SUR ESQ. AV. SAN CLAUDIO EDIFICIO 104B COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 2222295500 EXT 7206
(1) 2222295672 EXT
cmr@cs.buap.mx"
,,,,,,,,,
62,147396,JORNADAS DE DIFUSIÓN DE LA LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. 14 SUR ESQ. AV. SAN CLAUDIO EDIFICIO 104B COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 2222295500 EXT 7206
(1) 2222295672 EXT
cmr@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. 14 SUR ESQ. AV. SAN CLAUDIO EDIFICIO 104B COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 2222295500 EXT 7206
(1) 2222295672 EXT
cmr@cs.buap.mx"
,,,,,,,,,
63,147415,"MANTENIMIENTO Y SOPORTE DE PROGRAMAS, EQUIPOS E INSTALACIONES PARA PERSONAS CON DISCAPACIDAD VISUAL",Serv Social,"ÁREA DE COMPUTACIÓN, ADMINISTRACIÓN, INGENIERÍA, ELECTRÓNICA Y ARQUITECTURA",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO EDUCATIVO PARA PERSONAS CON CEGUERA Y DEBILIDAD VISUAL. INV. Y DOC. EN EDUC. ESPECIAL A. C,"15 PONIENTE SAN PEDRO CHOLULA1130 Col: BARRIO DE SANTA MARÍA XIXITLA CP: 72760
Puebla,San Pedro Cholula
(222)2472681 Ext:
() Ext:
iecdvi2008@hotmail.com"
64,147425,CRIPTOSISTEMA BASADO EN ALGORITMOS GENÉTICOS,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVENIDA SAN CLAUDIO EDIFICIO 135 CUBÍCULO 104 COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 22222295500 EXT 7200
(1) 22222295500 EXT 7200
lmc@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVENIDA SAN CLAUDIO EDIFICIO 135 CUBÍCULO 104 COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(1) 22222295500 EXT 7200
(1) 22222295500 EXT 7200
lmc@cs.buap.mx"
,,,,,,,,,
65,147446,DISMINUIR EL REZAGO EDUCATIVO POR COVID-19 (EN LINEA),Serv Social,JORNADAS EN APOYO A LOS MAS NECESITADOS,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,SOCIEDAD CENTER JUVENIL A.C.,"CAMPOS ELICEOSPLAZA 3 INTERIOR 10 Col: VILLA LAS FLORES CP: 72560
Puebla,Puebla
(222)4261713 Ext: 05
(222)4261713 Ext: 05
carreto_saul@hotmail.com"
66,147489,"DISEÑO, DESARROLLO E IMPLEMENTACIÓN DE BASES DE DATOS DINÁMICAS",Serv Social,SECRETARÍA DE INVESTIGACIÓN Y ESTUDIOS DE POSGRADO DE LA FACULTAD DE ADMINISTRACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ADMINISTRACION,"AV. SAN CLAUDIO SIN NUMERO COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7756
(222) 2459538 EXT
Alfredoperez2001@hotmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE ADMINISTRACION,"AV. SAN CLAUDIO SIN NUMERO COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7756
(222) 2459538 EXT
Alfredoperez2001@hotmail.com"
,,,,,,,,,
